,Source,Destination,TravelTimeInMin
360,EJIPURA,KODIHALLI,42
361,KODIHALLI,EJIPURA,42
362,EJIPURA,KRISHNARAJAPURA,75
363,KRISHNARAJAPURA,EJIPURA,75
364,EJIPURA,MAHADEVAPURA,66
365,MAHADEVAPURA,EJIPURA,66
366,EJIPURA,MARATHAHALLI,60
367,MARATHAHALLI,EJIPURA,60
368,EJIPURA,MUNNEKOLLAL,63
369,MUNNEKOLLAL,EJIPURA,63
370,EJIPURA,MURGESH PALLYA,48
371,MURGESH PALLYA,EJIPURA,48
372,EJIPURA,NEW TIPPASANDRA,51
373,NEW TIPPASANDRA,EJIPURA,51
374,EJIPURA,PANATHUR,63
375,PANATHUR,EJIPURA,63
376,EJIPURA,WHITEFIELD,68
377,WHITEFIELD,EJIPURA,68
378,EJIPURA,AIRPORT,98
379,AIRPORT,EJIPURA,98
380,EJIPURA,DEVANAHALLI,101
381,DEVANAHALLI,EJIPURA,101
382,EJIPURA,HEBBAL,73
383,HEBBAL,EJIPURA,73
384,EJIPURA,THANISANDRA,78
385,THANISANDRA,EJIPURA,78
386,EJIPURA,YELAHANKA,93
387,YELAHANKA,EJIPURA,93
388,EJIPURA,AREKERE,65
389,AREKERE,EJIPURA,65
390,EJIPURA,BANASHANKARI,70
391,BANASHANKARI,EJIPURA,70
392,EJIPURA,BELLANDUR,54
393,BELLANDUR,EJIPURA,54
394,EJIPURA,BILEKAHALLI,59
395,BILEKAHALLI,EJIPURA,59
396,EJIPURA,BOMMANAHALLI,53
397,BOMMANAHALLI,EJIPURA,53
398,EJIPURA,BOMMASANDRA,73
399,BOMMASANDRA,EJIPURA,73
400,EJIPURA,BTM LAYOUT,55
401,BTM LAYOUT,EJIPURA,55
402,EJIPURA,CHOODASANDRA,67
403,CHOODASANDRA,EJIPURA,67
404,EJIPURA,DOMLUR,42
405,DOMLUR,EJIPURA,42
406,EJIPURA,ELECTRONIC CITY,62
407,ELECTRONIC CITY,EJIPURA,62
408,EJIPURA,HARALUR,61
409,HARALUR,EJIPURA,61
410,EJIPURA,J. P. NAGAR,71
411,J. P. NAGAR,EJIPURA,71
412,EJIPURA,JAYANAGAR,53
413,JAYANAGAR,EJIPURA,53
414,EJIPURA,KAIKONDRAHALLI,55
415,KAIKONDRAHALLI,EJIPURA,55
416,EJIPURA,KASAVANAHALLI,60
417,KASAVANAHALLI,EJIPURA,60
418,EJIPURA,RR NAGAR,77
419,RR NAGAR,EJIPURA,77
420,EJIPURA,S.G. PALYA,49
421,S.G. PALYA,EJIPURA,49
422,EJIPURA,BALAGERE,71
423,BALAGERE,EJIPURA,71
424,EJIPURA,KADUGODI,85
425,KADUGODI,EJIPURA,85
426,EJIPURA,MATHIKERE,77
427,MATHIKERE,EJIPURA,77
428,EJIPURA,RAJAJINAGAR,73
429,RAJAJINAGAR,EJIPURA,73
430,EJIPURA,VIDYARANYAPURA,85
431,VIDYARANYAPURA,EJIPURA,85
432,EJIPURA,VIJAYANAGAR,67
433,VIJAYANAGAR,EJIPURA,67
434,EJIPURA,YESWANTHPUR,78
435,YESWANTHPUR,EJIPURA,78
436,INDIRANAGAR,KORAMANGALA,59
437,KORAMANGALA,INDIRANAGAR,59
438,INDIRANAGAR,SHANTI NAGAR,51
439,SHANTI NAGAR,INDIRANAGAR,51
440,INDIRANAGAR,AKSHAYANAGAR,81
441,AKSHAYANAGAR,INDIRANAGAR,81
442,INDIRANAGAR,BHOGANHALLI,73
443,BHOGANHALLI,INDIRANAGAR,73
444,INDIRANAGAR,BROOKEFIELD,73
445,BROOKEFIELD,INDIRANAGAR,73
446,INDIRANAGAR,C V RAMAN NAGAR,50
447,C V RAMAN NAGAR,INDIRANAGAR,50
448,INDIRANAGAR,CHINNAPANNA HALLI,60
449,CHINNAPANNA HALLI,INDIRANAGAR,60
450,INDIRANAGAR,DODDAKANNELLI,73
451,DODDAKANNELLI,INDIRANAGAR,73
452,INDIRANAGAR,DODDANEKKUNDI,58
453,DODDANEKKUNDI,INDIRANAGAR,58
454,INDIRANAGAR,GUNJUR VILLAGE,80
455,GUNJUR VILLAGE,INDIRANAGAR,80
456,INDIRANAGAR,HOODI,64
457,HOODI,INDIRANAGAR,64
458,INDIRANAGAR,HSR LAYOUT,62
459,HSR LAYOUT,INDIRANAGAR,62
460,INDIRANAGAR,KADUBEESANAHALLI,68
461,KADUBEESANAHALLI,INDIRANAGAR,68
462,INDIRANAGAR,KAGGADASAPURA,49
463,KAGGADASAPURA,INDIRANAGAR,49
464,INDIRANAGAR,KODIHALLI,41
465,KODIHALLI,INDIRANAGAR,41
466,INDIRANAGAR,KRISHNARAJAPURA,61
467,KRISHNARAJAPURA,INDIRANAGAR,61
468,INDIRANAGAR,MAHADEVAPURA,54
469,MAHADEVAPURA,INDIRANAGAR,54
470,INDIRANAGAR,MARATHAHALLI,59
471,MARATHAHALLI,INDIRANAGAR,59
472,INDIRANAGAR,MUNNEKOLLAL,62
473,MUNNEKOLLAL,INDIRANAGAR,62
474,INDIRANAGAR,MURGESH PALLYA,47
475,MURGESH PALLYA,INDIRANAGAR,47
476,INDIRANAGAR,NEW TIPPASANDRA,43
477,NEW TIPPASANDRA,INDIRANAGAR,43
478,INDIRANAGAR,PANATHUR,70
479,PANATHUR,INDIRANAGAR,70
480,INDIRANAGAR,WHITEFIELD,66
481,WHITEFIELD,INDIRANAGAR,66
482,INDIRANAGAR,AIRPORT,90
483,AIRPORT,INDIRANAGAR,90
484,INDIRANAGAR,DEVANAHALLI,93
485,DEVANAHALLI,INDIRANAGAR,93
486,INDIRANAGAR,HEBBAL,65
487,HEBBAL,INDIRANAGAR,65
488,INDIRANAGAR,THANISANDRA,66
489,THANISANDRA,INDIRANAGAR,66
490,INDIRANAGAR,YELAHANKA,85
491,YELAHANKA,INDIRANAGAR,85
492,INDIRANAGAR,AREKERE,74
493,AREKERE,INDIRANAGAR,74
494,INDIRANAGAR,BANASHANKARI,71
495,BANASHANKARI,INDIRANAGAR,71
496,INDIRANAGAR,BELLANDUR,66
497,BELLANDUR,INDIRANAGAR,66
498,INDIRANAGAR,BILEKAHALLI,67
499,BILEKAHALLI,INDIRANAGAR,67
500,INDIRANAGAR,BOMMANAHALLI,67
501,BOMMANAHALLI,INDIRANAGAR,67
502,INDIRANAGAR,BOMMASANDRA,87
503,BOMMASANDRA,INDIRANAGAR,87
504,INDIRANAGAR,BTM LAYOUT,69
505,BTM LAYOUT,INDIRANAGAR,69
506,INDIRANAGAR,CHOODASANDRA,79
507,CHOODASANDRA,INDIRANAGAR,79
508,INDIRANAGAR,DOMLUR,39
509,DOMLUR,INDIRANAGAR,39
510,INDIRANAGAR,ELECTRONIC CITY,76
511,ELECTRONIC CITY,INDIRANAGAR,76
512,INDIRANAGAR,HARALUR,73
513,HARALUR,INDIRANAGAR,73
514,INDIRANAGAR,J. P. NAGAR,80
515,J. P. NAGAR,INDIRANAGAR,80
516,INDIRANAGAR,JAYANAGAR,60
517,JAYANAGAR,INDIRANAGAR,60
518,INDIRANAGAR,KAIKONDRAHALLI,66
519,KAIKONDRAHALLI,INDIRANAGAR,66
520,INDIRANAGAR,KASAVANAHALLI,72
521,KASAVANAHALLI,INDIRANAGAR,72
522,INDIRANAGAR,RR NAGAR,77
523,RR NAGAR,INDIRANAGAR,77
524,INDIRANAGAR,S.G. PALYA,56
525,S.G. PALYA,INDIRANAGAR,56
526,INDIRANAGAR,BALAGERE,71
527,BALAGERE,INDIRANAGAR,71
528,INDIRANAGAR,KADUGODI,79
529,KADUGODI,INDIRANAGAR,79
530,INDIRANAGAR,MATHIKERE,69
531,MATHIKERE,INDIRANAGAR,69
532,INDIRANAGAR,RAJAJINAGAR,69
533,RAJAJINAGAR,INDIRANAGAR,69
534,INDIRANAGAR,VIDYARANYAPURA,76
535,VIDYARANYAPURA,INDIRANAGAR,76
536,INDIRANAGAR,VIJAYANAGAR,68
537,VIJAYANAGAR,INDIRANAGAR,68
538,INDIRANAGAR,YESWANTHPUR,73
539,YESWANTHPUR,INDIRANAGAR,73
540,KORAMANGALA,SHANTI NAGAR,52
541,SHANTI NAGAR,KORAMANGALA,52
542,KORAMANGALA,AKSHAYANAGAR,60
543,AKSHAYANAGAR,KORAMANGALA,60
544,KORAMANGALA,BHOGANHALLI,61
545,BHOGANHALLI,KORAMANGALA,61
546,KORAMANGALA,BROOKEFIELD,78
547,BROOKEFIELD,KORAMANGALA,78
548,KORAMANGALA,C V RAMAN NAGAR,64
549,C V RAMAN NAGAR,KORAMANGALA,64
550,KORAMANGALA,CHINNAPANNA HALLI,63
551,CHINNAPANNA HALLI,KORAMANGALA,63
552,KORAMANGALA,DODDAKANNELLI,57
553,DODDAKANNELLI,KORAMANGALA,57
554,KORAMANGALA,DODDANEKKUNDI,66
555,DODDANEKKUNDI,KORAMANGALA,66
556,KORAMANGALA,GUNJUR VILLAGE,75
557,GUNJUR VILLAGE,KORAMANGALA,75
558,KORAMANGALA,HOODI,73
559,HOODI,KORAMANGALA,73
560,KORAMANGALA,HSR LAYOUT,46
561,HSR LAYOUT,KORAMANGALA,46
562,KORAMANGALA,KADUBEESANAHALLI,56
563,KADUBEESANAHALLI,KORAMANGALA,56
564,KORAMANGALA,KAGGADASAPURA,61
565,KAGGADASAPURA,KORAMANGALA,61
566,KORAMANGALA,KODIHALLI,48
567,KODIHALLI,KORAMANGALA,48
568,KORAMANGALA,KRISHNARAJAPURA,79
569,KRISHNARAJAPURA,KORAMANGALA,79
570,KORAMANGALA,MAHADEVAPURA,66
571,MAHADEVAPURA,KORAMANGALA,66
572,KORAMANGALA,MARATHAHALLI,59
573,MARATHAHALLI,KORAMANGALA,59
574,KORAMANGALA,MUNNEKOLLAL,67
575,MUNNEKOLLAL,KORAMANGALA,67
576,KORAMANGALA,MURGESH PALLYA,54
577,MURGESH PALLYA,KORAMANGALA,54
578,KORAMANGALA,NEW TIPPASANDRA,58
579,NEW TIPPASANDRA,KORAMANGALA,58
580,KORAMANGALA,PANATHUR,59
581,PANATHUR,KORAMANGALA,59
582,KORAMANGALA,WHITEFIELD,67
583,WHITEFIELD,KORAMANGALA,67
584,KORAMANGALA,AIRPORT,105
585,AIRPORT,KORAMANGALA,105
586,KORAMANGALA,DEVANAHALLI,107
587,DEVANAHALLI,KORAMANGALA,107
588,KORAMANGALA,HEBBAL,80
589,HEBBAL,KORAMANGALA,80
590,KORAMANGALA,THANISANDRA,87
591,THANISANDRA,KORAMANGALA,87
592,KORAMANGALA,YELAHANKA,100
593,YELAHANKA,KORAMANGALA,100
594,KORAMANGALA,AREKERE,58
595,AREKERE,KORAMANGALA,58
596,KORAMANGALA,BANASHANKARI,64
